indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,106889039.55960694,1.0322481717570618e-14,0.184969309086585,0.07147978679484025,4.37028571550558,2.877721464142019
negative,29.607849810917205,2.102482285942164,0.8372892443172305,0.19327657937460013,0.209928834771766,0.22410806901771088
posNeg,189342492.0204334,1.6912176996926342e-14,0.2000436787530938,0.038262225535234014,8.048515440392723,2.87516478702808
pending,99563263.82752131,6.869367912127227e-15,0.11959543656086302,0.16634754593333473,5.573363433701991,7.896802117253487
death,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
total,85.2485236975561,11.215597422983235,0.9999999999999999,0.46485037482228136,0.14610899784816647,0.41408414923787634
