indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,193.21541276329634,11.268587197889193,0.5679610273650931,0.05714063663266241,1.151268173454362,0.5044848661754233
negative,299999998.95305854,1.2596956687192426e-11,0.2482399415750596,0.027309549519734206,57.89195468219537,18.37455895176001
posNeg,299999999.9864914,1.6856806749899207e-11,0.24536772121312625,0.023469626138609027,68.29076057063406,18.598177379658168
pending,0.0005877152789459981,1.8081390342991814,8.764320459587212e-06,0.02699587383254245,32.26063695412849,18.044180671220175
death,56686765.050433375,4.867045745913002e-18,0.15964601689779087,0.05388672625193745,0.1912266907747156,0.11182071042863437
total,299999999.98889786,1.7929148348561023e-11,0.24057767120851634,0.023403956230373387,72.26084737306681,19.57155587433258
