indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,37486112.010249294,3.590602383629245e-15,0.15252180537024132,0.05962817459258549,1.764751826783464,1.0342041395923194
negative,144716524.5201707,3.3467401136063916e-12,0.26544399515411776,0.020871350165605033,26.170233203027774,5.866248018109136
posNeg,246308927.0587249,1.0931003543159716e-12,0.2737111126064215,0.02050764864392014,24.511404889664863,5.420779503177247
pending,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
death,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
total,246308927.0587249,1.0931003543159716e-12,0.2737111126064215,0.02050764864392014,24.511404889664863,5.420779503177247
