indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,128972896.76680832,4.737451616520832e-13,0.3105253076019712,0.038348047312771215,6.495499505721194,2.9753582662641715
negative,82578933.3217082,3.919854908608101e-13,0.303685647650053,0.09660698830166349,3.4777308981204658,4.003200911124806
posNeg,218965216.5166597,4.6926630125444e-13,0.3250446381987151,0.04276535423838926,8.101689782680005,4.1590918550269
pending,45.65978877270595,9.779830393372947,0.9999999999999997,1.085314211986614,0.18849688216957183,1.1027758839432413
death,213492150.68879104,6.5712873690317515e-18,0.13910484537386528,0.06852345905198291,0.3893297349186282,0.28255672835232365
total,217944490.57076606,4.577168640383803e-13,0.32959267117627866,0.031777968666780766,8.58405741669293,3.279322205907783
