indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,222748364.88114062,5.777273559887535e-14,0.31199588206509243,0.02745582733882281,7.418293223193421,2.0314208180293045
negative,125204916.62470207,5.289454360658123e-13,0.32884314046259844,0.026911202964521316,9.619041509349579,2.598586641704051
posNeg,946.900187926502,182.26483642853103,0.5247545808168063,0.060447853804161275,4.503197521890447,1.910478543377531
pending,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
death,157224855.42807123,1.4570352230525044e-17,0.24578039962721893,0.20865575681827497,0.15904627929940635,0.3202232492252464
total,946.900187926502,182.26483642853103,0.5247545808168063,0.060447853804161275,4.503197521890447,1.910478543377531
