indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,242811314.61054567,1.922630718808681e-18,0.3577243343169524,0.07285699229897716,0.06578287367668893,0.053334098397387314
negative,61062167.51824096,1.983240796846775e-12,0.3489937760271698,0.03429458996043305,6.265382853482605,2.3849078649955113
posNeg,62228584.649547346,1.9164664104428444e-12,0.3510773714147525,0.03433785719012461,6.193212977492278,2.361893980663333
pending,0.0010343854672428942,14.175350828470863,1.232910984745299e-05,0.1690817130162256,5.992458237955292,4.997079329314635
death,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
total,189977971.53940478,2.672566663563728e-13,0.33464393423774175,0.033871328551491775,7.456862122381532,2.7907276330025286
