indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,184.35723713482508,251.33975362406142,0.26497328073073406,0.046944814546724695,1.9856663428568195,0.5284181896887642
negative,177.1959423618852,21.155193502631164,0.45650697926270045,0.0678487657214326,3.6383286234559526,1.5382672210680488
posNeg,240.51153747798466,35.72448886255321,0.4148022369156194,0.061010130917341615,5.476418843688664,2.056787606642921
pending,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
death,212775029.48809975,1.8098959403822495e-18,0.16558409121291523,0.10719813076091851,0.15609484280440933,0.16686314299687643
total,240.51153747798466,35.72448886255321,0.4148022369156194,0.061010130917341615,5.476418843688664,2.056787606642921
