indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,1465611.0361933818,449565411958.22504,0.4101479836995525,0.2400560443449321,0.056753222804170195,0.09500596700455226
negative,438.9537666362006,89.26228329007992,0.6177515327420015,0.080202946598291,0.7998788429353961,0.48743283129523707
posNeg,63155406.486251675,3.6611173099225305e-13,0.39775013022599554,0.028214601951049294,3.6421660347598315,1.0534235303974555
pending,227040.02664564882,4332629735657.6367,0.01394459359369781,5.083818784270381,4.012676365964459,4.467671287267912
death,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
total,61582751.7714919,5.19578694543644e-13,0.36690023646994496,0.02334817182488923,5.052812182141725,1.19921467685546
