indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,299999999.95037043,1.3122833876920379e-12,0.3798400776990835,0.015795240947135403,11.624665667504091,2.420736942762576
negative,280072561.01224947,2.0876390413498858e-10,0.4204786711374789,0.05368473725166489,31.335024621519022,22.35971498327727
posNeg,299999993.7838875,3.1214032550378584e-10,0.4128614321211605,0.04325773262712856,42.17563672597353,24.215911223024676
pending,0.007754679192582982,69.75023620992738,2.032528973865252e-05,0.1829324278638963,89.31057103109234,78.7402801382351
death,299272487.91076195,2.3833816675243713e-18,0.4308668196001047,0.05882940298411394,0.027905367987945434,0.021860721664557964
total,299999994.8113634,3.2360147993330244e-10,0.41133475610326536,0.04336856377235856,43.043219574692316,24.770237927256165
