indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,299999999.998628,5.614876654271549e-13,0.19666201248896328,0.00982407674771657,36.74901567356387,4.406111852644594
negative,9711.087741553982,2251.2069058308634,0.9999999999999896,0.4416382541697017,0.08200382895078852,0.3971766261462214
posNeg,10294.779358632544,2242.8894390578566,0.9999999999999941,0.4208963508270574,0.09009603728545454,0.41492669756493716
pending,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
death,35525056.675501004,2.497530323365785e-16,0.30670245121315226,0.03447714855074061,0.18342717864356328,0.08170453827039414
total,170938519.5806339,3.4623827404553737e-09,0.3355569540742825,0.06740898873681286,90.06221417735163,79.14707464633538
