indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,76477559.17406482,2.051226822297469e-13,0.31974668986265026,0.04015574588651321,2.704125034009477,1.4089227286539345
negative,299999999.99999505,3.6217731655657095e-12,0.32910151292677964,0.03379223168319228,17.44908836254293,7.672686987850675
posNeg,262156622.84013417,8.978620790866287e-12,0.31024744203074,0.030147945787700695,25.414621658762623,9.910905570951718
pending,62.52098432958542,20.44694085113551,0.5799713592857829,1.271262462870087,19.373256832925208,36.79064355453721
death,98173628.62480702,3.69603910958633e-19,0.2095982614970524,0.08382563665781517,0.0585481333643703,0.06046443117581353
total,299999999.9999996,9.889816038143091e-12,0.2852728207250724,0.025130529304306235,36.09416882467673,11.62707142175538
