indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,59888153.03815246,2.2856439624131132e-14,0.20792885867332364,0.08541946640206437,2.9197347404066862,2.343593428969211
negative,175273928.29892516,2.2896852870685167e-11,0.3916733533910529,0.06757877420513352,22.08394783408026,15.274990682920059
posNeg,190834921.40593022,1.2372672619179475e-11,0.4240471462141659,0.06659792124887136,16.181209102916014,11.115713118770916
pending,185859240.9810576,3.12068368802559e-16,0.026541305444613656,0.11427610415241259,5.828751840796402,4.673689918965822
death,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
total,2276.319984834336,429.8533385559518,0.9999999999999999,0.2104702121169164,0.12809409845705372,0.2328389092343277
