indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,246962961.25699744,7.467764424414523e-18,0.38993152517836277,0.05305984895868439,0.19172547131029216,0.10407413891305377
negative,223231635.1619819,5.061675894519815e-15,0.20754587853748405,0.22321460548095035,3.0947047968063415,6.489200906707737
posNeg,268857436.37743205,2.1327826561453426e-15,0.35891263943776125,0.20265037042493994,1.1051130779940501,2.270997558686698
pending,82773146.34878793,1.3482926621294124e-16,0.35222483143362177,0.18256270214374457,0.1793784754930925,0.33138375341651377
death,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
total,40089288.222254,2.019310182098981e-13,0.32489618219034067,0.19294277020275102,1.7338164278165116,3.353281892166473
