indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,43117032.1357569,1.877764871139354e-14,0.24789974141278315,0.027717762331991674,1.5477219821909236,0.5407266142205149
negative,88015018.05442345,4.591923749843093e-13,0.35636282614175074,0.02717488209052902,3.4993605776868546,1.2467253541950496
posNeg,124922257.83443323,9.032860671792199e-13,0.31044670999636903,0.03133633819837779,7.101405627249941,2.878681676489238
pending,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
death,206677727.82752526,3.8307294865705606e-19,0.18884313611494757,0.12437144449063088,0.040398800634466894,0.060941487211511026
total,124922257.83443323,9.032860671792199e-13,0.31044670999636903,0.03133633819837779,7.101405627249941,2.878681676489238
