indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,9.246785777983485,0.7256613818322596,0.999999999999976,0.23425653877059582,0.0068808037495107915,0.011000330779444845
negative,248680118.0149444,2.6091636340071404e-13,0.34448872673201747,0.034567828539421454,10.115764462922261,3.5295522478434056
posNeg,249438216.26933804,2.406617331702399e-13,0.3496694818260484,0.031803156715543575,9.85340063731646,3.1684509101239664
pending,11.00181261909483,11.966775249861552,0.9999999403015005,4.163529100699937,0.03060105745819146,0.7208878547243861
death,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
total,161985792.80303675,2.910369359417019e-13,0.37118826729618715,0.020590947252138142,8.104276800729359,1.6984243683079279
