indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,149173704.4676416,1.0474728283592753e-16,0.14565697516528053,0.07531148661907097,1.1485518845506781,0.7635698850809698
negative,299999999.8618478,1.8590803050782872e-13,0.2716151945412454,0.011184839473849751,22.93961196479058,2.5121628904414015
posNeg,299999910.1102786,1.8474560142935465e-13,0.2737018496806157,0.010550355042356794,22.90034902791084,2.368141723951069
pending,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
death,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
total,299999910.1102786,1.8474560142935465e-13,0.2737018496806157,0.010550355042356794,22.90034902791084,2.368141723951069
