indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,76415797.68703018,1.6787692151834002e-12,0.1861206378903241,0.017572862389701245,19.179778748450634,4.0787690351907395
negative,268468190.4732065,1.9481090387472067e-12,0.40097635459956626,0.06467870529368501,6.779624662478127,5.806901565555581
posNeg,101104849.99964963,1.4627279286121343e-11,0.4076918104223539,0.04827136347190806,7.319038289237098,4.684816547011851
pending,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
death,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
total,101104849.99964963,1.4627279286121343e-11,0.4076918104223539,0.04827136347190806,7.319038289237098,4.684816547011851
