indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,24.749748924401466,1.729464136811409,0.4976536662943522,0.061193599749584486,0.3911859485108877,0.1627256869210971
negative,1450.6040523759607,5380.681799973219,0.23214980193980958,0.07822201508447879,12.61605643104897,5.879246085501131
posNeg,880.3428517431029,1359.6886839946092,0.24883794991657382,0.07053832670554656,13.099342965114245,5.598560555635388
pending,18.49994968356639,5.243335892812697,0.9999999999999999,1.6971419379442378,0.5893828594629528,3.352489336288553
death,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
total,372.2689682425723,126.48490577514134,0.2706667340201828,0.05802417988498245,17.88132842497135,5.52930766490259
