indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,38117246.293624625,1.59771722842605e-13,0.24486069929194526,0.048414175614986996,4.009750110870373,1.872158707320726
negative,139.42723721811825,14.319393298345936,0.9999999999999999,0.4646255119811229,1.3622944216307125,2.832930046286291
posNeg,179.23533948971792,14.763305331326816,0.9999999999999964,0.3541466128214887,1.1486820042321115,1.9849010916047225
pending,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
death,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
total,179.23533948971792,14.763305331326816,0.9999999999999964,0.3541466128214887,1.1486820042321115,1.9849010916047225
