indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,223494043.36484513,1.1374664913970097e-15,0.2138600846967596,0.02835097991687159,2.4424011210992456,0.8555619650145727
negative,174507926.22845268,1.3794681165794273e-11,0.31132197039480725,0.09516367998542659,15.1258452056045,18.625955533700417
posNeg,177698802.5323132,1.959488014487565e-12,0.41240911020130666,0.09637028079119239,4.208978357691858,5.3834377701824945
pending,63687676.05598565,3.561353901553333e-13,0.16322760682006263,0.1809988959362715,5.770191909186568,12.37349267875494
death,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
total,177998713.25715175,1.0658488123792054e-12,0.437361772495371,0.08897425486738395,3.0465816451337817,3.6135706501166385
