indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,28693945.809601933,2.605336621292377e-13,0.23463217805836872,0.051691325979789544,4.075674361813083,2.018499441940829
negative,129.53466669582076,4.972368651584703,0.6011930521918969,0.08209393444530275,13.89546238054549,3.442743565579774
posNeg,200.66822843194333,16.96704912475697,0.4006046106725696,0.05937123684463972,20.03744934462845,4.338362322334742
pending,0.0025668110047059292,5.787782629584628,0.0005057285254048358,1.1432095576283559,2.2544376263923587,2.325528555070532
death,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
total,204.67585856570506,19.606822151729546,0.3815068055448809,0.06029458048438624,21.67081838806271,4.657042546666487
