indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,66100985.93827842,2.496182373850718e-14,0.25518161376072857,0.02228503603913845,2.6683557136966805,0.6936374716982906
negative,95.55524129815352,1.3000638149859738,0.7530391312005565,0.05876563871097384,13.474030118145215,1.7935150565317557
posNeg,176.9044641505917,21.977587394916547,0.28420960203218393,0.06234245160088742,29.505235797682275,6.06785106334048
pending,2.9361179519473094e-05,0.02561534709900192,3.6174205217174586e-06,0.003165738519887642,14.593079788427039,2.578633141752594
death,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
total,206.74138372286112,40.227623222609715,0.21592361006950772,0.049978969505742814,36.97428419431166,5.507477912820132
