indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,34.23498088681983,4.8952051093658975,0.36007089339820264,0.04644872131228862,1.2716229252749152,0.32534428818184946
negative,707.6862397749361,219.53839660001185,0.38859539030682655,0.05123198480269792,6.727588450851826,2.3854164750965365
posNeg,752.2638842049422,218.57072534670314,0.3794333868274949,0.047412177467213865,8.107031187928019,2.610208010622737
pending,15369958.8752626,3.1487356968103665e-17,1.1254283573510178e-13,0.29276997240268243,0.23076925249828883,0.4777376854155209
death,255365.91670109006,96408324399.22795,0.43613147266266744,0.42016389012708255,0.0064096639078758885,0.022011374967158343
total,759.9553280832458,224.87583515590893,0.3774878327665852,0.047275459893903166,8.21795110645538,2.633608668786539
