indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,226495637.0122934,1.2285674604638002e-14,0.14492198987933105,0.03173964023145719,10.225210663218427,3.4625470481387546
negative,259503492.28842476,3.418569981421995e-12,0.3127735179933844,0.041161939493326444,19.26918080852101,9.48173164486256
posNeg,267657589.95559272,8.147742913527972e-13,0.38601145245393587,0.031282182786241994,8.557756133952665,3.2677977120612733
pending,0.00048772940358103004,2.319775689898923,2.1611621996987824e-05,0.10285012246579749,7.004281316005407,3.2203955612924426
death,199683566.3256793,7.183213017129787e-20,0.07961399345235674,0.10333646486102663,0.16569600523477318,0.16422260336854996
total,69869156.61643213,6.321754272149007e-12,0.4215675059242823,0.03258342248235895,5.560106830963863,2.228098891168694
