indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,16852535.265954036,1.7659377303860737e-15,0.4325998179516563,0.035139249724962435,0.13617770178405725,0.054209438336533404
negative,41.41526995381773,3.883465237475604,0.35194527559576766,0.07019088620292398,6.49696837994012,1.4363364425536265
posNeg,87.52334994691995,19.911608969551136,0.2574018401679025,0.043826170687687564,7.453647269520165,1.3018548453658159
pending,18.3575197091471,6.266585693570586,0.9999999999999999,1.5734998803983469,0.07917430513966559,0.6613839463393509
death,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
total,69.20422730457796,7.206876743609653,0.6637497328540723,0.22916805560896214,1.9280899058628451,2.151676391900913
