indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,45947641.93860565,4.5239138446901374e-13,0.2531183092647804,0.014472512760340322,5.577394661599276,1.0201000228832107
negative,256830645.1405946,9.694284225484981e-13,0.3558807995158001,0.20057288390522704,4.710706546623655,12.385673166448475
posNeg,264407070.35280052,1.594338939679767e-12,0.3510773280256893,0.15025333670128285,6.454235112426823,12.696726670971744
pending,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
death,888867.0423258704,1115904168874.5703,0.2080165097472245,0.20189102656606606,0.07036318109323542,0.09197097447158438
total,264407070.35280052,1.594338939679767e-12,0.3510773280256893,0.15025333670128285,6.454235112426823,12.696726670971744
