indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,115781815.32953557,4.3507228723829783e-14,0.343462033266157,0.01876010762120621,2.351042191971901,0.576280464324401
negative,71807341.57484902,6.106551920609105e-11,0.22033205845575923,0.010578172664512712,54.80418017680821,7.193117257846047
posNeg,299999996.0250298,4.651975550067441e-12,0.23734146744087065,0.010206102569911486,53.598047724582685,6.856252333073675
pending,139982450.41312855,1.7659537601931904e-11,0.2264525841393007,0.0782290605605266,27.649431403130926,26.93969906398256
death,120346802.47731838,1.3016941803838487e-17,0.1948295533615219,0.11906850832838024,0.22426799136067177,0.3254368382652364
total,299999881.5314725,4.137233896702493e-11,0.23450441135927513,0.028398267506698112,80.54730934595385,28.623896666533724
