indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,226762669.495184,1.36441155790604e-14,0.1620111874461547,0.047233603074001915,8.270776025630578,4.250018570786108
negative,100122070.28751838,3.7197529445577167e-13,0.22718064393957546,0.039117593558924676,8.877576043685844,3.9865925792403063
posNeg,245.28518227863236,23.62982193717173,0.7645741048547385,0.15440642084120856,0.1726472490448901,0.23137717034148067
pending,177.37801293151446,64.23387451805172,0.9999999999999999,1.570453146380774,0.16663548734919312,1.7800651459215846
death,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
total,369.23685209509347,70.50313149877596,0.9999999999999772,0.7547626146343311,0.17296117879293055,0.972381696111947
