indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,21557733.810998626,5.1003064834528096e-14,0.24007084765119488,0.058981323378256276,1.8087083937395405,1.025722356733118
negative,615.2812657899237,105.2404516455585,0.8436539887528876,0.16111353514372218,0.20488719371391798,0.2689540577202359
posNeg,201469067.43196002,4.520463025623669e-13,0.3712494654908966,0.040429111169307,8.650477047865348,3.5595703518520785
pending,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
death,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
total,201469067.43196002,4.520463025623669e-13,0.3712494654908966,0.040429111169307,8.650477047865348,3.5595703518520785
