indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,1498.4460506600603,124.99179636719288,0.3242543105684136,0.019207628847450697,32.48916047579678,4.475294665582185
negative,18755.45693901787,1140.1587402416496,0.4190090129841166,0.019975242640778854,124.50459017874724,21.337532880990253
posNeg,20342.324681597252,1216.6091294855285,0.40952614454427727,0.018870117762826936,150.47847012174907,24.06881185005134
pending,0.0012276916695188552,13.294162186681186,9.356623981201991e-06,0.10141692479635248,15.160043857628818,20.977101146615876
death,46.33121393047882,2.898459695290497,0.8432910159539572,0.20306450688054703,0.06465569251719662,0.09884973027605456
total,20535.128545303134,1262.5502741622777,0.4053331449426597,0.018816468474877498,156.44164422991585,24.86778424877309
