indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,23.717425950540175,5.058475413302606,0.44585501647758696,0.07272083706763122,0.24949014262533897,0.12658971199278196
negative,68882058.57898444,1.489071577396491e-12,0.36792434196365137,0.03770919495312708,5.362997303399978,2.2569368455872887
posNeg,73168862.33981021,1.5716146161481014e-12,0.3623530416767776,0.03612197920715744,5.954094759177744,2.396519708059447
pending,0.002338851549707023,69.71537761736235,7.561611771888389e-05,2.256897026454958,2.673395466301677,5.330524194758672
death,212665917.7081169,3.36447223856088e-19,0.09232553270464833,0.06596820497503667,0.27628989330002224,0.16372472862535484
total,72364054.8666608,1.743096432196267e-12,0.35676349504656946,0.03568730704664172,6.343795584217828,2.5186201039255804
