indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,212170004.4415446,3.328823049336731e-19,0.19603399827998302,0.47366386501528807,0.013773382800642893,0.06695019815361385
negative,92534956.55596678,1.8667997956990687e-14,0.3560235887147579,0.039956344402039275,1.5906518904411613,0.7069152990958678
posNeg,229913791.9616644,4.0484179983842974e-14,0.1742487464825774,0.05021145534084685,11.806904251987808,5.96445049150557
pending,299999999.99991304,2.8934127074851665e-18,0.2022142348238833,0.08026312216109814,0.8006093267479532,0.6627824349578231
death,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
total,231081357.9337735,1.1297782667593072e-14,0.2834189238781726,0.036595633141036234,3.9648063346798335,1.5717860648816908
