indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,152906609.35329464,9.672032070068927e-15,0.23826645168030144,0.021031857303614426,4.007510439364929,0.9741071865271399
negative,125789545.42480733,8.076755251196738e-13,0.27998342431305057,0.028407694202395768,10.285761547281798,3.4485801097528026
posNeg,635.1903231330656,107.87681153223467,0.4884184688480477,0.06932475554963298,2.801724896666164,1.6136479738261607
pending,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
death,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
total,635.1903231330656,107.87681153223467,0.4884184688480477,0.06932475554963298,2.801724896666164,1.6136479738261607
