indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,27.18348151846855,3.369398186472731,0.46482892600283704,0.11438596577593099,1.3235799519247036,0.7506680999469688
negative,87.14541215143979,3.636435139201915,0.6405257361664023,0.09824157544019417,4.984182089907612,1.9294464905142674
posNeg,110.4434189483303,3.189548522891178,0.6455096239393562,0.06691059518807843,5.401248951363606,1.5005695798133611
pending,0.013545294359338171,998.8416604240008,3.255724774567469e-05,2.4050195880533334,9.128475817833882,9.30322030068782
death,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
total,110.17298277897729,4.8126940088197285,0.9525953333013338,0.2183218131990153,3.019828226900083,2.4014010617284303
