indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,299999999.99997497,9.845078996980347e-11,0.29070263212005576,0.004731883807939136,130.56231299494894,7.935878798084779
negative,817701.169026829,1037347.1578624223,0.3513787407784422,0.020476943142024483,526.7304762898664,98.7486339832329
posNeg,1668801.7623216244,3515244.3302398426,0.33926003082871975,0.017458842811320242,670.4514756213797,105.76741931964166
pending,3265.6065737884633,3401.1173477309044,0.2526863763433883,0.1644122692624688,153.2415749854159,145.30867616584737
death,87550669.95074119,7.330123328307507e-14,0.21731166048254066,0.02320390742580203,5.253369143203731,1.5095650899040105
total,299999999.9897827,114128210876.45766,0.32277393439291685,0.016605867854910087,830.9905863647742,122.14513751818197
