indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,15866236.366244076,2.3565949098519666e-14,0.1647748970414264,0.04310453806966852,2.157346410801939,0.8393507020085121
negative,76294592.70740822,2.4152455373515158e-11,0.3076255257715137,0.05288458534410362,22.288514122614227,11.735318052708983
posNeg,608.3790674692538,17.34909210590351,0.9999999999999996,0.07451001759179172,0.26747298596529706,0.1446807760704238
pending,240123974.78426376,1.5682780621851242e-14,0.4888224058679491,0.2520619397121646,0.9523332920385585,2.5068974391881143
death,281615650.5305232,5.573830393214524e-19,0.14791813321599034,0.6603907926271917,0.017799131139436764,0.1040520833633851
total,166986741.53653735,1.978218070794044e-12,0.387721751089038,0.027487024649021995,13.028076564164955,3.661438372193575
