indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,190992953.3894195,4.6823782402262526e-14,0.18799920108578086,0.02775763785025285,12.190093380465921,3.448426892300977
negative,145367644.29436693,2.6620138839945036e-12,0.41966976368122927,0.037725891906695376,8.054875201877472,3.4334950380869054
posNeg,173667192.63465723,7.199473492872571e-12,0.3496343591916968,0.03153481260059609,19.809678141187568,6.93506006038088
pending,81576.73688284594,2628755537.458512,0.06136281814107459,1.1805647109135726,31.67158270431974,45.503667984707484
death,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
total,148603670.5132801,8.864948941940103e-12,0.32638719884631406,0.01751439877204706,26.70775884230263,5.154085035878611
