indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,299999998.8166409,2.8189968167708705e-18,0.34127643909072547,0.023429528389354068,0.2928157437592463,0.06917290509364696
negative,338.0524712728201,71.56789370696187,0.513373106230526,0.09686376515786446,3.271111928762333,2.052379637535422
posNeg,59284133.03214173,2.0549882821826578e-12,0.29641981014221525,0.028910389026230145,10.795077544445459,3.09227686026998
pending,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
death,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
total,59284133.03214173,2.0549882821826578e-12,0.29641981014221525,0.028910389026230145,10.795077544445459,3.09227686026998
