indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,299999999.92815405,1.3923837483276893e-15,0.1978320793555,0.01626822653619401,4.187227088616361,0.8320956241534743
negative,299999999.9998501,2.920385394203079e-12,0.23309412248445394,0.01932526173007903,38.186983848340866,9.22735811546313
posNeg,299999999.99990624,3.6159903074988987e-12,0.2304174672279969,0.01880852975501169,42.27776265875001,9.92726383215857
pending,299999988.751408,2.341902129844647e-13,0.19850844003893045,0.02663318808215309,19.59556598672933,6.378376289770622
death,239868680.413,2.2801100490458822e-18,0.4247690658465124,0.23113938249428306,0.004250803080116288,0.013069688048646467
total,299999999.73968714,8.574898427501971e-12,0.2217119800978056,0.017479802371942403,61.81024508692417,13.417405069667529
