indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,218828786.63868862,4.120656495594394e-16,0.11148687251700662,0.02073345805013578,4.225177450431975,0.9703783986454704
negative,222.71368197766944,70.12884472226074,0.24746126376375208,0.06980352551128856,17.730806333702994,6.103294828101718
posNeg,280.7508140428389,98.27963624837135,0.23263124798794965,0.05948208885940743,20.447202732139928,6.043378377799593
pending,39329386.06548222,2.565610581642331e-13,0.1966104458555376,0.01761982777485199,6.037733237058221,1.298304002340726
death,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
total,491.9404203843779,180.20106211692755,0.22598806653930667,0.0431838448295179,25.75849234141687,5.958672807773347
