indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,149488784.5517717,9.073175489155321e-17,0.3678100753050449,0.03615652151836533,0.4394644795858059,0.16156161389460336
negative,132513619.21176471,1.075285656838491e-13,0.4162106836341812,0.02377085379160444,3.8194375195803985,0.9348518353949634
posNeg,137291194.71118066,9.002637292900524e-14,0.43477850935852,0.0223831149891133,3.4318369043902623,0.7941785313791162
pending,257375191.6197583,5.088493730956673e-15,0.3475035857643365,0.07873488289089808,2.079739900845098,1.6544718995216263
death,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
total,238812871.5763236,1.2850470840301679e-13,0.37632024408263687,0.021330072816152096,7.6817740486770925,1.6701106466499804
