indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,226299844.7502993,1.3898973520338956e-14,0.15708482503770788,0.04553393809321542,8.47857386518242,4.177652060693188
negative,300.0861485303829,16.707399144046523,0.5865986076810277,0.06984918497051358,2.431566833059048,1.2181243990179362
posNeg,121094462.89045233,2.697265205764755e-12,0.21576723023434072,0.024758678767143986,24.7303732117788,6.976252576666554
pending,19.396324379873406,3.848760725844499,0.9111663924177673,1.137817619866529,2.0181072120276293,5.223186992351127
death,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
total,391.11989663777,24.156939406806686,0.540274137553849,0.06502776524577829,4.544631095293653,2.063908001221916
