indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,97.43629820537096,8.436372119619994,0.6048466482368459,0.054780879197387305,0.2393158236946517,0.10477727850033965
negative,3343.197973960447,114.12631094765185,0.6002116349624703,0.023201377877653587,9.983612902749204,1.8162615366587547
posNeg,3440.561966670993,117.58857681367626,0.6002774758238617,0.02317880583762164,10.224795189390859,1.8592788809157932
pending,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
death,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
total,3440.561966670993,117.58857681367626,0.6002774758238617,0.02317880583762164,10.224795189390859,1.8592788809157932
