indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,23149329.43141525,1.2459140455612971e-14,0.25592215421779296,0.02041901168241571,1.089068056878856,0.25949580022756796
negative,252.59938382090618,107.34586650860618,0.3882878759216232,0.07849899807382611,1.8993153033133792,1.161277783588957
posNeg,100042088.39487837,8.633687763033233e-14,0.26536870411313257,0.017001487625889117,5.481066383823038,1.092509513611438
pending,6.43726539572539,2.6722888019930404,0.9999999999990428,2.351185373107905,0.10090707626224589,0.9669097357627304
death,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
total,100678160.74191868,1.894536129253993e-13,0.24001676295602395,0.023340389292703708,7.705274696440553,2.0806064643834583
