indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,93827842.00494796,3.112879499099752e-15,0.14534889569176762,0.041813921680964476,3.7765057306226626,1.5386174632408256
negative,112465057.32940616,5.6941668664892177e-11,0.3803105872355482,0.05228041920138453,20.96800194334704,12.273858486732662
posNeg,114204733.17221336,2.1515256337376284e-11,0.4285398037377688,0.044353602024150375,12.437595864374483,6.244408781574243
pending,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
death,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
total,114204733.17221336,2.1515256337376284e-11,0.4285398037377688,0.044353602024150375,12.437595864374483,6.244408781574243
