indicator,K,delta_K,r,delta_r,I0,delta_I0
positive,40.519646979854805,9.341147499125562,0.5263974056128408,0.11607810041064238,0.22547498318766193,0.19595803444336507
negative,113539682.36006802,9.698847691851242e-14,0.3390686212083251,0.02152729731330199,4.285413424626869,1.0207891507815121
posNeg,238890283.62356505,8.409993279284964e-14,0.2784308108787245,0.02357101344443988,9.424922491867262,2.4010681017915454
pending,52749588.678948484,4.611368661849596e-14,0.22447334658035642,0.04571945453076057,3.2716986857731447,1.5682706513424356
death,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
total,663.8986513679539,178.63902670097391,0.4257088331261702,0.04566514288857606,3.7135527303583564,1.2564200122970763
