state,K,delta_K,r,delta_r,I0,delta_I0
MT,161985792.80303675,2.910369359417019e-13,0.37118826729618715,0.020590947252138142,8.104276800729359,1.6984243683079279
NE,372.2689682425723,126.48490577514134,0.2706667340201828,0.05802417988498245,17.88132842497135,5.52930766490259
NV,240.8354409797695,23.732956024545548,0.999999999998034,0.4738137885614937,0.5744739618364463,1.6110421989542723
NH,247975402.1367279,3.894529726268025e-13,0.3040179505160614,0.017523510063527585,10.729684277596888,2.4269255479211562
NJ,217944490.57076606,4.577168640383803e-13,0.32959267117627866,0.031777968666780766,8.58405741669293,3.279322205907783
NM,114204733.17221336,2.1515256337376284e-11,0.4285398037377688,0.044353602024150375,12.437595864374483,6.244408781574243
NY,299999994.8113634,3.2360147993330244e-10,0.41133475610326536,0.04336856377235856,43.043219574692316,24.770237927256165
NC,177998713.25715175,1.0658488123792054e-12,0.437361772495371,0.08897425486738395,3.0465816451337817,3.6135706501166385
ND,61582751.7714919,5.19578694543644e-13,0.36690023646994496,0.02334817182488923,5.052812182141725,1.19921467685546
OH,369.23685209509347,70.50313149877596,0.9999999999999772,0.7547626146343311,0.17296117879293055,0.972381696111947
OK,238812871.5763236,1.2850470840301679e-13,0.37632024408263687,0.021330072816152096,7.6817740486770925,1.6701106466499804
OR,299999999.73968714,8.574898427501971e-12,0.2217119800978056,0.017479802371942403,61.81024508692417,13.417405069667529
PA,148603670.5132801,8.864948941940103e-12,0.32638719884631406,0.01751439877204706,26.70775884230263,5.154085035878611
RI,299999999.96736246,1.333889461830956e-12,0.33271659792068925,0.031465701469588395,21.725762654661544,6.872155584844779
SC,124922257.83443323,9.032860671792199e-13,0.31044670999636903,0.03133633819837779,7.101405627249941,2.878681676489238
SD,166986741.53653735,1.978218070794044e-12,0.387721751089038,0.027487024649021995,13.028076564164955,3.661438372193575
TN,635.1903231330656,107.87681153223467,0.4884184688480477,0.06932475554963298,2.801724896666164,1.6136479738261607
TX,264637474.94607568,4.822056473501286e-13,0.45905393084389,0.12012599131486106,2.4308825630838324,3.9061798637841503
UT,179.23533948971792,14.763305331326816,0.9999999999999964,0.3541466128214887,1.1486820042321115,1.9849010916047225
VT,246308927.0587249,1.0931003543159716e-12,0.2737111126064215,0.02050764864392014,24.511404889664863,5.420779503177247
VA,69869156.61643213,6.321754272149007e-12,0.4215675059242823,0.03258342248235895,5.560106830963863,2.228098891168694
WA,20535.128545303134,1262.5502741622777,0.4053331449426597,0.018816468474877498,156.44164422991585,24.86778424877309
WV,231081357.9337735,1.1297782667593072e-14,0.2834189238781726,0.036595633141036234,3.9648063346798335,1.5717860648816908
WI,258225700.4802186,3.1541989829212583e-12,0.33524163041611754,0.04170211003710548,13.493547833121262,7.335366836957678
WY,65164973.91435681,7.968572437681117e-14,0.4636292250155153,0.13400904919172923,0.9484188288118257,1.3215079528955676
USA,299999999.9897827,114128210876.45766,0.32277393439291685,0.016605867854910087,830.9905863647742,122.14513751818197
