state,K,delta_K,r,delta_r,I0,delta_I0
ND,227040.02664564882,4332629735657.6367,0.01394459359369781,5.083818784270381,4.012676365964459,4.467671287267912
OH,177.37801293151446,64.23387451805172,0.9999999999999999,1.570453146380774,0.16663548734919312,1.7800651459215846
OK,257375191.6197583,5.088493730956673e-15,0.3475035857643365,0.07873488289089808,2.079739900845098,1.6544718995216263
OR,299999988.751408,2.341902129844647e-13,0.19850844003893045,0.02663318808215309,19.59556598672933,6.378376289770622
PA,81576.73688284594,2628755537.458512,0.06136281814107459,1.1805647109135726,31.67158270431974,45.503667984707484
RI,68093520.33244468,5.400995136679685e-13,0.40647997102819994,0.05233899890490279,3.3915337889462327,1.8235820189529817
SC,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
SD,240123974.78426376,1.5682780621851242e-14,0.4888224058679491,0.2520619397121646,0.9523332920385585,2.5068974391881143
TN,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
TX,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
UT,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
VT,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
VA,0.00048772940358103004,2.319775689898923,2.1611621996987824e-05,0.10285012246579749,7.004281316005407,3.2203955612924426
WA,0.0012276916695188552,13.294162186681186,9.356623981201991e-06,0.10141692479635248,15.160043857628818,20.977101146615876
WV,299999999.99991304,2.8934127074851665e-18,0.2022142348238833,0.08026312216109814,0.8006093267479532,0.6627824349578231
WI,0.0005875471824311807,2.557107821151822,1.9349491321009506e-05,0.08426508411968152,9.205027243640385,4.25325490691314
WY,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
USA,3265.6065737884633,3401.1173477309044,0.2526863763433883,0.1644122692624688,153.2415749854159,145.30867616584737
