state,K,delta_K,r,delta_r,I0,delta_I0
IA,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
KS,212665917.7081169,3.36447223856088e-19,0.09232553270464833,0.06596820497503667,0.27628989330002224,0.16372472862535484
KY,255365.91670109006,96408324399.22795,0.43613147266266744,0.42016389012708255,0.0064096639078758885,0.022011374967158343
LA,157224855.42807123,1.4570352230525044e-17,0.24578039962721893,0.20865575681827497,0.15904627929940635,0.3202232492252464
ME,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
MD,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
MA,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
MI,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
MN,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
MS,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
MO,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
MT,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
NE,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
NV,212458731.15423158,1.5314697946199088e-19,0.12760782537567,0.20470743176864703,0.058516199282554304,0.1249140656576878
NH,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
NJ,213492150.68879104,6.5712873690317515e-18,0.13910484537386528,0.06852345905198291,0.3893297349186282,0.28255672835232365
NM,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
NY,299272487.91076195,2.3833816675243713e-18,0.4308668196001047,0.05882940298411394,0.027905367987945434,0.021860721664557964
NC,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
ND,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
OH,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
OK,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
OR,239868680.413,2.2801100490458822e-18,0.4247690658465124,0.23113938249428306,0.004250803080116288,0.013069688048646467
PA,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
RI,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
SC,206677727.82752526,3.8307294865705606e-19,0.18884313611494757,0.12437144449063088,0.040398800634466894,0.060941487211511026
SD,281615650.5305232,5.573830393214524e-19,0.14791813321599034,0.6603907926271917,0.017799131139436764,0.1040520833633851
TN,41015035.99730036,1.4438007585781595e-19,2.9407021657262018e-08,0.07479575194022056,1.8935554982173e-05,1.0832606881991732e-05
TX,164381971.42603338,4.669480812071726e-19,0.34670864008407914,0.12445778676600992,0.010473243263684966,0.01704603996332799
UT,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
VT,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
VA,199683566.3256793,7.183213017129787e-20,0.07961399345235674,0.10333646486102663,0.16569600523477318,0.16422260336854996
WA,46.33121393047882,2.898459695290497,0.8432910159539572,0.20306450688054703,0.06465569251719662,0.09884973027605456
WV,46288986.69257809,5.107469456633073e-19,4.155508712755301e-08,0.08451541791071018,2.6796208643342162e-05,1.6013799515130032e-05
WI,111953985.41916409,3.060561698136088e-19,2.0956683590069732e-08,0.06681530347151286,1.34597256609158e-05,7.397749400171168e-06
WY,70092790.7178254,8.665576885033168e-19,2.9349738006274563e-08,0.09656090208711472,1.8958141985303367e-05,1.1887260729160917e-05
USA,87550669.95074119,7.330123328307507e-14,0.21731166048254066,0.02320390742580203,5.253369143203731,1.5095650899040105
