state,K,delta_K,r,delta_r,I0,delta_I0
ME,59888153.03815246,2.2856439624131132e-14,0.20792885867332364,0.08541946640206437,2.9197347404066862,2.343593428969211
MD,66100985.93827842,2.496182373850718e-14,0.25518161376072857,0.02228503603913845,2.6683557136966805,0.6936374716982906
MA,76415797.68703018,1.6787692151834002e-12,0.1861206378903241,0.017572862389701245,19.179778748450634,4.0787690351907395
MI,226299844.7502993,1.3898973520338956e-14,0.15708482503770788,0.04553393809321542,8.47857386518242,4.177652060693188
MN,97.43629820537096,8.436372119619994,0.6048466482368459,0.054780879197387305,0.2393158236946517,0.10477727850033965
MS,21557733.810998626,5.1003064834528096e-14,0.24007084765119488,0.058981323378256276,1.8087083937395405,1.025722356733118
MO,299999998.8166409,2.8189968167708705e-18,0.34127643909072547,0.023429528389354068,0.2928157437592463,0.06917290509364696
MT,9.246785777983485,0.7256613818322596,0.999999999999976,0.23425653877059582,0.0068808037495107915,0.011000330779444845
NE,24.749748924401466,1.729464136811409,0.4976536662943522,0.061193599749584486,0.3911859485108877,0.1627256869210971
NV,29814894.619955003,2.1177543889730556e-13,0.2010553122727665,0.03823846737699778,4.040024862842255,1.7413422117573893
NH,299999999.9999857,2.574584469899116e-17,0.24398241554984126,0.019550917130104033,0.7848239790381998,0.1930101717491458
NJ,128972896.76680832,4.737451616520832e-13,0.3105253076019712,0.038348047312771215,6.495499505721194,2.9753582662641715
NM,93827842.00494796,3.112879499099752e-15,0.14534889569176762,0.041813921680964476,3.7765057306226626,1.5386174632408256
NY,299999999.95037043,1.3122833876920379e-12,0.3798400776990835,0.015795240947135403,11.624665667504091,2.420736942762576
NC,223494043.36484513,1.1374664913970097e-15,0.2138600846967596,0.02835097991687159,2.4424011210992456,0.8555619650145727
ND,1465611.0361933818,449565411958.22504,0.4101479836995525,0.2400560443449321,0.056753222804170195,0.09500596700455226
OH,226762669.495184,1.36441155790604e-14,0.1620111874461547,0.047233603074001915,8.270776025630578,4.250018570786108
OK,149488784.5517717,9.073175489155321e-17,0.3678100753050449,0.03615652151836533,0.4394644795858059,0.16156161389460336
OR,299999999.92815405,1.3923837483276893e-15,0.1978320793555,0.01626822653619401,4.187227088616361,0.8320956241534743
PA,190992953.3894195,4.6823782402262526e-14,0.18799920108578086,0.02775763785025285,12.190093380465921,3.448426892300977
RI,42409936.202466235,1.9490795011993487e-14,0.21584987654615898,0.031407019648109095,2.9924732664536364,0.8885964014260447
SC,43117032.1357569,1.877764871139354e-14,0.24789974141278315,0.027717762331991674,1.5477219821909236,0.5407266142205149
SD,15866236.366244076,2.3565949098519666e-14,0.1647748970414264,0.04310453806966852,2.157346410801939,0.8393507020085121
TN,152906609.35329464,9.672032070068927e-15,0.23826645168030144,0.021031857303614426,4.007510439364929,0.9741071865271399
TX,30333681.331818387,3.029228648559468e-13,0.19517336641980357,0.016604806764823152,5.555440895563967,1.1245294447909355
UT,38117246.293624625,1.59771722842605e-13,0.24486069929194526,0.048414175614986996,4.009750110870373,1.872158707320726
VT,37486112.010249294,3.590602383629245e-15,0.15252180537024132,0.05962817459258549,1.764751826783464,1.0342041395923194
VA,226495637.0122934,1.2285674604638002e-14,0.14492198987933105,0.03173964023145719,10.225210663218427,3.4625470481387546
WA,1498.4460506600603,124.99179636719288,0.3242543105684136,0.019207628847450697,32.48916047579678,4.475294665582185
WV,212170004.4415446,3.328823049336731e-19,0.19603399827998302,0.47366386501528807,0.013773382800642893,0.06695019815361385
WI,34884756.97538175,4.741940252167032e-13,0.20194164717023033,0.04197082253419895,4.894326217558329,2.516987438200024
WY,292991737.23185796,3.3210228806138413e-18,0.47328387482172624,0.05486106295571281,0.07739833381533663,0.04422689939623594
USA,299999999.99997497,9.845078996980347e-11,0.29070263212005576,0.004731883807939136,130.56231299494894,7.935878798084779
